"dt","Импорт цемента ЖД","Экспорт цемента ЖД","Отгрузка цемента хоппер ЖД","Отгрузка цемента остальные ЖД","Производство цемента","Импорт цемента","Экспорт цемента","Потребление цемента","Отгрузка цемента","Цена цемента с НДС","Цена цемента без НДС","Производство бетона РФ","Производство бетона МО","Производство бетона СПБ"
"1970-01-01 03:00:44","40.75","27.53","987.54","201.76","2.39","52.33","31.49","2.29","1.19","3,769.20","4,968.10","1.92","223.41","198.59"
"1970-01-01 03:00:44","69.98","43.42","1,071.83","256.73","2.71","79.64","50.16","2.67","1.33","3,745.23","4,822.46","2.06","293.41","162.18"
"1970-01-01 03:00:44","105.53","58.23","1,495.35","446.95","3.85","125.59","64.99","3.98","1.94","3,790.64","5,299.51","2.84","424.11","254.89"
"1970-01-01 03:00:44","125.09","88.93","1,754.58","573.13","4.86","182.18","105.97","4.93","2.33","3,853.30","5,031.96","3.30","492.62","301.09"
"1970-01-01 03:00:44","124.44","112.45","1,859.55","659.93","5.72","193.68","141.09","5.76","2.52","3,915.07","5,240.72","3.79","562.72","303.96"
"1970-01-01 03:00:44","125.67","143.62","1,998.19","813.52","6.40","217.01","171.18","6.67","2.81","3,966.72","5,163.41","4.30","580.44","345.53"
"1970-01-01 03:00:45","122.03","129.40","1,889.20","989.30","6.69","232.29","153.85","6.88","2.88","4,035.60","5,426.48","5.77","1,082.76","373.80"
"1970-01-01 03:00:45","111.63","120.59","1,844.53","928.14","6.65","209.98","142.03","6.78","2.77","4,097.58","5,323.64","5.94","1,115.72","380.01"
"1970-01-01 03:00:45","97.01","112.51","1,689.87","789.15","6.19","178.66","132.24","6.39","2.48","4,172.67","5,397.43","5.97","1,090.62","361.17"
"1970-01-01 03:00:45","105.82","102.74","1,778.07","600.26","6.01","201.86","119.82","6.04","2.38","4,231.15","5,480.04","5.61","1,085.41","334.51"
"1970-01-01 03:00:45","103.24","68.55","1,645.57","351.01","4.89","162.41","77.51","4.86","2.00","4,273.63","5,303.55","4.17","916.08","318.99"
"1970-01-01 03:00:45","73.91","68.36","1,280.21","273.71","3.71","121.30","75.50","3.64","1.55","4,312.66","5,201.73","3.36","515.03","247.05"
"1970-01-01 03:00:45","59.40","47.21","1,024.14","233.72","2.91","87.36","50.98","2.74","1.26","4,275.16","5,776.56","0.00","591.02","224.06"
"1970-01-01 03:00:45","76.21","53.49","1,217.45","280.00","3.44","111.61","60.55","3.53","1.50","4,339.53","5,653.47","0.00","839.03","213.36"
"1970-01-01 03:00:45","111.77","69.39","1,541.38","439.41","4.51","177.90","79.41","4.61","1.98","4,468.65","6,255.79","0.00","627.77","272.33"
"1970-01-01 03:00:45","114.26","76.88","1,659.50","451.21","5.01","150.20","85.24","5.00","2.11","4,668.75","6,384.87","0.00","989.94","338.71"
"1970-01-01 03:00:45","95.65","77.61","1,722.14","626.01","5.85","134.15","97.77","5.83","2.35","4,803.80","6,749.37","0.00","758.85","325.24"
"1970-01-01 03:00:45","83.88","77.65","1,848.19","716.83","6.42","177.13","97.65","6.62","2.57","4,934.75","6,798.66","0.01","1,233.33","349.82"
"1970-01-01 03:00:45","120.90","84.71","1,954.19","825.29","6.79","206.35","104.68","6.91","2.78","5,013.97","6,939.11","0.01","1,348.07","368.66"
"1970-01-01 03:00:45","144.65","75.65","1,870.63","806.01","6.67","268.47","94.21","6.94","2.68","5,100.41","6,993.72","0.01","1,367.75","383.55"
"1970-01-01 03:00:45","182.08","62.58","1,838.54","716.65","6.20","280.41","81.05","6.45","2.56","5,174.27","6,874.88","0.01","1,257.65","363.73"
"1970-01-01 03:00:45","179.95","64.60","1,731.31","535.57","5.71","254.50","84.99","5.60","2.27","5,157.75","6,645.47","0.01","1,296.38","349.77"
"1970-01-01 03:00:45","127.56","56.71","1,395.32","323.14","4.10","194.06","62.10","4.14","1.72","5,146.97","6,687.32","0.00","946.81","281.47"
"1970-01-01 03:00:45","97.50","37.98","1,159.52","202.35","3.17","159.66","42.14","3.34","1.36","5,111.16","6,676.36","0.00","845.99","235.06"
"1970-01-01 03:00:45","75.14","40.43","970.14","193.23","2.61","115.65","43.12","2.51","1.16","5,098.63","6,791.82","0.00","608.74","181.17"
